current,voltage,welding_speed,plate_thickness,property,saw,smaw,gmaw,gtaw
160,28,90,10,flexural_strength,268.2,273.4,280.6,230
160,32,120,6,heat_input,2560,2048,2048,1536
100,24,90,6,heat_input,1600,1280,1280,960
100,28,120,8,hardness,128.4,134.5,132.5,86.4
100,24,90,6,residual_stress,272.4,216.8,230.4,125.8
130,28,150,6,tensile_strength,390.6,300.6,318.6,383.6
100,32,150,10,flexural_strength,272.8,196,202.6,394.4
130,28,150,6,hardness,130.2,130.3,126,48.8
100,32,150,10,residual_stress,142,164,178.2,82
160,24,150,8,hardness,136.6,120.8,120,76.8
160,24,150,8,residual_stress,260.8,202.6,212.6,102.5
130,24,120,10,residual_stress,265.4,208.4,218.4,108.6
100,32,150,10,tensile_strength,370.2,280.2,294.6,378.5
130,28,150,6,residual_stress,220.6,180.2,191.1,96.6
130,28,150,6,heat_input,1456,1165,1165,874
130,32,90,8,heat_input,2773,2218,2218,1664
100,28,120,8,heat_input,1400,1120,1120,840
160,32,120,6,residual_stress,312.8,264.6,280,152
100,24,90,6,hardness,164,116.2,115.4,90.6
130,24,120,10,flexural_strength,312.6,224.6,226.8,345
100,28,120,8,tensile_strength,385.5,302.8,312.8,382.4
160,28,90,10,tensile_strength,343.7,275,306.8,422.8
100,28,120,8,residual_stress,186.6,176.8,188.6,90.5
160,28,90,10,heat_input,2986,2389,2389,1792
100,32,150,10,hardness,116.2,142.2,140.2,65
160,32,120,6,flexural_strength,270,260,268.5,236.2
160,32,120,6,tensile_strength,354.6,304.2,345.5,432.6
100,24,90,6,flexural_strength,320.1,238.4,240.2,336.8
130,32,90,8,flexural_strength,264.8,270.2,274,320.6
100,28,120,8,flexural_strength,276.5,214.6,218.4,360.8
130,32,90,8,tensile_strength,350.8,332.8,350.2,426.5
130,24,120,10,tensile_strength,430.5,436.2,442.5,394.6
160,28,90,10,hardness,95.6,90.1,92.4,105
130,28,150,6,flexural_strength,293.2,220.1,228.4,386.2
160,24,150,8,tensile_strength,410.5,424.6,438.4,392.8
160,24,150,8,heat_input,1536,1229,1229,922
130,24,120,10,heat_input,1560,1248,1248,936
160,28,90,10,residual_stress,325.2,290.5,314.5,165.4
160,32,120,6,hardness,108.4,110,108.6,102.5
100,24,90,6,tensile_strength,435,442.6,448.2,396.5
130,32,90,8,residual_stress,318.5,270.2,282.8,158.6
100,32,150,10,heat_input,1280,1024,1024,768
130,32,90,8,hardness,98.5,96.4,95.2,103
130,24,120,10,hardness,152.4,128.4,128.2,80.5
160,24,150,8,flexural_strength,302.4,232.6,236.2,302.5
