current,voltage,welding_speed,plate_thickness,welding_type,heat_input,tensile_strength,flexural_strength,hardness_value,residual_stress
160,32,120,6,GTAW,1536,432.6,236.2,102.5,152
130,32,90,8,SMAW,2218,332.8,270.2,96.4,270.2
100,28,120,8,GTAW,840,382.4,360.8,86.4,90.5
160,28,90,10,GTAW,1792,422.8,230,105,165.4
100,28,120,8,SAW,1400,385.5,276.5,128.4,186.6
100,24,90,6,GMAW,1280,448.2,240.2,115.4,230.4
160,32,120,6,SAW,2560,354.6,270,108.4,312.8
160,28,90,10,SAW,2986,343.7,268.2,95.6,325.2
100,28,120,8,SMAW,1120,302.8,214.6,134.5,176.8
100,32,150,10,GMAW,1024,294.6,202.6,140.2,178.2
130,32,90,8,GTAW,1664,426.5,320.6,103,158.6
160,24,150,8,SAW,1536,410.5,302.4,136.6,260.8
160,32,120,6,GMAW,2048,345.5,268.5,108.6,280
100,32,150,10,SAW,1280,370.2,272.8,116.2,142
100,24,90,6,SAW,1600,435,320.1,164,272.4
130,32,90,8,SAW,2773,350.8,264.8,98.5,318.5
130,28,150,6,SMAW,1165,300.6,220.1,130.3,180.2
160,32,120,6,SMAW,2048,304.2,260,110,264.6
130,24,120,10,GMAW,1248,442.5,226.8,128.2,218.4
100,32,150,10,SMAW,1024,280.2,196,142.2,164
130,24,120,10,SMAW,1248,436.2,224.6,128.4,208.4
130,24,120,10,GTAW,936,394.6,345,80.5,108.6
130,32,90,8,GMAW,2218,350.2,274,95.2,282.8
100,32,150,10,GTAW,768,378.5,394.4,65,82
160,24,150,8,SMAW,1229,424.6,232.6,120.8,202.6
160,28,90,10,SMAW,2389,275,273.4,90.1,290.5
160,24,150,8,GMAW,1229,438.4,236.2,120,212.6
130,28,150,6,SAW,1456,390.6,293.2,130.2,220.6
100,24,90,6,GTAW,960,396.5,336.8,90.6,125.8
160,24,150,8,GTAW,922,392.8,302.5,76.8,102.5
100,28,120,8,GMAW,1120,312.8,218.4,132.5,188.6
130,24,120,10,SAW,1560,430.5,312.6,152.4,265.4
130,28,150,6,GMAW,1165,318.6,228.4,126,191.1
130,28,150,6,GTAW,874,383.6,386.2,48.8,96.6
100,24,90,6,SMAW,1280,442.6,238.4,116.2,216.8
160,28,90,10,GMAW,2389,306.8,280.6,92.4,314.5
